name,contact_person,phone,mobile_alt,email,location,active_listings,qualified,oglasnik_profil,website,status,notes
Qubo Villas Nekretnine,,+385977501918,,,,100,false,https://www.njuskalo.hr/agencija/qubo-nekretnine,,Not Contacted,
"Agencija Mali Svijet - Stanovi, kuće, nekretnine Križevci, Zagreb i okolica",,+385911226677,+38591226677,,,97,false,https://www.njuskalo.hr/agencija/mali-svijet-nekretnine,,Not Contacted,"Svi telefoni: +385911226677, +38591226677"
Panorama Homes,,+385912221114,,,,125,false,https://www.njuskalo.hr/agencija/panorama-homes,,Not Contacted,
Preferenca Nekretnine,,+385958054460,+385989230960,,,134,false,https://www.njuskalo.hr/agencija/preferenca,,Not Contacted,"Svi telefoni: +385958054460, +385989230960"
LOFT Nekretnine,,+385916033468,+385914830988,,,50,false,https://www.njuskalo.hr/agencija/loft-nekretnine,,Not Contacted,"Svi telefoni: +385916033468, +385914830988"
Resident Nekretnine,,+385917900020,,,,40,false,https://www.njuskalo.hr/agencija/resident-nekretnine,,Not Contacted,
Millennium Nekretnine Exclusive,,+385913223760,+385994139676,,,922,false,https://www.njuskalo.hr/agencija/millennium-exclusive,,Not Contacted,"Svi telefoni: +385913223760, +385994139676, +385915859581, +385914858702, +385912050962, +385915204616, +385953603960, +385913269333, +385914030202, +385912011041"
starsrealestate,,+385993025012,+385993025016,,,282,false,https://www.njuskalo.hr/agencija/starsrealestate,,Not Contacted,"Svi telefoni: +385993025012, +385993025016, +385993025010, +385993025014, +385993025015, +385993025011"
FORUM NEKRETNINE d.o.o.,,+38598429110,,,,20,false,https://www.njuskalo.hr/agencija/forum-nekretnine,,Not Contacted,
DOMUS NEKRETNINE d.o.o.,,+385955878860,,,,373,false,https://www.njuskalo.hr/agencija/domus1,,Not Contacted,
TRGO-INVEST Nekretnine,,+385914457777,+38598340484,,,195,false,https://www.njuskalo.hr/agencija/trgo-invest-nekretnine,,Not Contacted,"Svi telefoni: +385914457777, +38598340484, +385958939386"
Labras nekretnine,,+385989196868,+38598272720,,,154,false,https://www.njuskalo.hr/agencija/labras-nekretnine-zadar,,Not Contacted,"Svi telefoni: +385989196868, +38598272720"
Pontera nekretnine,,+38598443289,+385914034801,,,1890,false,https://www.njuskalo.hr/agencija/ponteraproperties,,Not Contacted,"Svi telefoni: +38598443289, +385914034801, +385995705551, +385955161641, +38598297277, +385922333667, +385916281888, +385916412892, +385912541593, +385911550026"
Palace Real Estate,,+385911858500,,,,2787,false,https://www.njuskalo.hr/agencija/agencija-palace,,Not Contacted,
NV Adria Condos d.o.o.,,,,sales@kvarner-bay.hr,Masarykova ulica 3 10000 - Zagreb,6,false,https://www.nekretnine.hr/agencije-nekretnina/97065/,https://movenpickresidenceskvarnerbay.com/,Not Contacted,
Nanette nekretnine d.o.o.,,,,,Maksimirska cesta 48 10123 - Zagreb,6,false,https://www.nekretnine.hr/agencije-nekretnina/97349/,,Not Contacted,
Rivalitas d.o.o.,,,,info@rivalitas.hr,mailto:info@rivalitas.hr 11 10000 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/94539/,http://www.rivalitas.hr,Not Contacted,
WAU Reality s.r.o,,,,,Ulica grada Vukovara 284 10135 - Zagreb,1,false,https://www.nekretnine.hr/agencije-nekretnina/97041/,,Not Contacted,
BEST RESIDENCE,,,,,Draganička grana 8 10110 - Zagreb,1,false,https://www.nekretnine.hr/agencije-nekretnina/96961/,,Not Contacted,
ITD Nepremičnine,,,,,Gruška ulica 2 10000 - Zagreb,13,false,https://www.nekretnine.hr/agencije-nekretnina/97073/,,Not Contacted,
Baza agencija d.o.o.,,,,,Ulica grada Vukovara 284 10135 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/96829/,,Not Contacted,
Procuratore d.o.o.,,,,,Ulica Junija Palmotića 4 10000 - Zagreb,9,false,https://www.nekretnine.hr/agencije-nekretnina/97117/,,Not Contacted,
INFINIS PROPERTIES,,,,,Ilica 33 10000 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/97149/,,Not Contacted,
PAPIRUS NEKRETNINE I USLUGE d.o.o.,,,,info@papirus-nekretnine.hr,"Horvaćanska 142, Zagreb 142 10000 - Zagreb",6,false,https://www.nekretnine.hr/agencije-nekretnina/93995/,http://www.papirus-nekretnine.hr,Not Contacted,
POMAhr,,,,info@poma.hr,"Vrbik 33D, Vrbik 10000 33D 10000 - Zagreb",7,false,https://www.nekretnine.hr/agencije-nekretnina/96415/,https://poma.hr/,Not Contacted,
Lurimax,,,,,"Borje, 2 2 10172 - Zagreb",19,false,https://www.nekretnine.hr/agencije-nekretnina/95269/,,Not Contacted,
GOLDEN NEKRETNINE,,,,info@golden-nekretnine.hr,"Ulica fra Grge Martića, 67, Zagreb Hrvatska, 10000 67 10000 - Zagreb",13,false,https://www.nekretnine.hr/agencije-nekretnina/95913/,https://www.golden-nekretnine.hr,Not Contacted,
Stan Arka,,,,,Ulica Pere Budmanija 5 10000 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/95771/,,Not Contacted,
Projekt 92 d.o.o.,,,,,Ulica kneza Ljudevita Posavskog 37 10000 - Zagreb,16,false,https://www.nekretnine.hr/agencije-nekretnina/95531/,,Not Contacted,
Stator d.o.o.,,,,info@stator.com.hr,Ulica Frane Petrića 5 10000 - Zagreb,18,false,https://www.nekretnine.hr/agencije-nekretnina/94915/,http://www.stator.com.hr,Not Contacted,
Anino project,,,,,Vinogradska cesta 27 10000 - Zagreb,210,false,https://www.nekretnine.hr/agencije-nekretnina/96561/,,Not Contacted,
108 Real Estate Advisory Adria,,,,dario.tomljenovic@108realestate.hr,Savska cesta 32 10110 - Zagreb,21,false,https://www.nekretnine.hr/agencije-nekretnina/96427/,https://www.warehouser.hr/,Not Contacted,
Agencija,,,,,Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/94143/,,Not Contacted,
IMMOWELT,,,,info@immowelt.hr,"Vlaška 133, Zagreb 133 10000 - Zagreb",7,false,https://www.nekretnine.hr/agencije-nekretnina/94715/,http://www.immowelt.hr/,Not Contacted,
Imadora d.o.o.,,,,,Čileanska ulica 7 10000 - Zagreb,3,false,https://www.nekretnine.hr/agencije-nekretnina/96763/,https://imadora.hr,Not Contacted,
NEST,,,,info@nest.hr,"Ulica grada Vukovara 20 ,  Zagreb, 10110 20 10110 - Zagreb",9,false,https://www.nekretnine.hr/agencije-nekretnina/95379/,https://nest.hr/,Not Contacted,
ADE Studio d.o.o.,,,,sara@adestudio.hr,Ulica Žarka Dolinara 2 10000 - Zagreb,1,false,https://www.nekretnine.hr/agencije-nekretnina/95545/,https://adestudionekretnine.com/,Not Contacted,
Pavlović nekretnine,,,,,"Ulica kralja Stjepana Tvrtka, 4, Zagreb Hrvatska, 10000 4 10000 - Zagreb",3,false,https://www.nekretnine.hr/agencije-nekretnina/95743/,https://pavlovic-nekretnine.hr/,Not Contacted,
Get nekretnine,,,,,Ulica kneza Ljudevita Posavskog 5 10360 - Zagreb,5,false,https://www.nekretnine.hr/agencije-nekretnina/93553/,https://www.get-nekretnine.hr/,Not Contacted,
tectonic+,,,,info@tectonic.hr,Trnjanska cesta 73 10000 - Zagreb,9,false,https://www.nekretnine.hr/agencije-nekretnina/96371/,https://www.tectonic.hr/,Not Contacted,
Sotto In Su nekretnine,,,,info@sottoinsu.hr,"Ulica kralja Zvonimira, 33, Zagreb Hrvatska, 10000 33 10000 - Zagreb",11,false,https://www.nekretnine.hr/agencije-nekretnina/96301/,https://www.sottoinsu.hr/naslovnica,Not Contacted,
TERRA - X d.o.o.,,,,info@terra-x.hr,Livanjska 18A 18A 10104 - Zagreb,13,false,https://www.nekretnine.hr/agencije-nekretnina/94459/,http://www.terra-x.hr,Not Contacted,
Zagreb West Real Estate Agency,,,,info@zagrebwest.hr,"Ulica Bogoslava Suleka 11 ,  Zagreb, 10000 11 10000 - Zagreb",0,false,https://www.nekretnine.hr/agencije-nekretnina/95353/,https://www.zagrebwest.hr/,Not Contacted,
Herceg Immobilien,,,,,Ulica grada Vukovara 284 10000 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/95883/,https://hercegimmobilien.de/,Not Contacted,
PRO VILA,,,,provila100@gmail.com,"Nova cesta 188, Knežija 10110 188 10110 - Zagreb",4,false,https://www.nekretnine.hr/agencije-nekretnina/95675/,https://www.provila-hr.com/,Not Contacted,
Remedis Nekretnine,,,,,Donje Svetice 32 10135 - Zagreb,17,false,https://www.nekretnine.hr/agencije-nekretnina/97293/,,Not Contacted,
Confiance doo,,,,,Selska cesta 23 10360 - Zagreb,28,false,https://www.nekretnine.hr/agencije-nekretnina/97159/,,Not Contacted,
PE DINIRA,,,,,Ulica grada Vukovara 271 10000 - Zagreb,4,false,https://www.nekretnine.hr/agencije-nekretnina/96005/,,Not Contacted,
INTERKLASIK j.d.o.o.,,,,info@interlasik.hr,Froudeova ulica 7 10020 - Zagreb,19,false,https://www.nekretnine.hr/agencije-nekretnina/93537/,http://www.interklasik.hr/hr/,Not Contacted,
RESTATE nepremičnine s.p.,,,,,Ulica grada Vukovara 284d 10135 - Zagreb,47,false,https://www.nekretnine.hr/agencije-nekretnina/96431/,https://www.restate.si/hr/,Not Contacted,
Khalas nekretnine,,,,,Ilica 277 10000 - Zagreb,0,false,https://www.nekretnine.hr/agencije-nekretnina/96141/,,Not Contacted,
REALIS CENTAR NEKRETNINA d.o.o.,,,,info@realiscentar.hr,"Ribnjak 1 ,  Zagreb, 10000 1 10000 - Zagreb",10,false,https://www.nekretnine.hr/agencije-nekretnina/95295/,http://www.realiscentar.hr,Not Contacted,
SPIRIT nekretnine,,,,,Cebini 29 10010 - Zagreb,18,false,https://www.nekretnine.hr/agencije-nekretnina/96847/,https://www.facebook.com/spirit.nekretnine,Not Contacted,
Sting,,,,,Srednjaci 19 10110 - Zagreb,4,false,https://www.nekretnine.hr/agencije-nekretnina/95647/,,Not Contacted,
Geo Grupa d.o.o.,,,,,"Savska cesta 144A/1, Knežija 10110 144A/1 10000 - Zagreb",27,false,https://www.nekretnine.hr/agencije-nekretnina/94059/,https://geo-grupa.hr/hr,Not Contacted,
AMG Real Estate,,,,,Kostanjevec 4E 10000 - Zagreb,4,false,https://www.nekretnine.hr/agencije-nekretnina/96857/,https://amg-nekretnine.hr/,Not Contacted,
Loreta usluge d.o.o.,,,,,"Zagrebačka avenija, 100A, Zagreb Hrvatska, 10090 100a 10090 - Zagreb",108,false,https://www.nekretnine.hr/agencije-nekretnina/94293/,https://loreta-nekretnine.com/,Not Contacted,
United real estate,,,,,"Zapoljska ulica, 18, Zagreb Hrvatska, 10135 18 10135 - Zagreb",28,false,https://www.nekretnine.hr/agencije-nekretnina/96297/,https://united-nekretnine.hr/,Not Contacted,
Prestige Nekretnine d.o.o.,,,,,Andrije Žaje 49 49 10110 - Zagreb,38,false,https://www.nekretnine.hr/agencije-nekretnina/94977/,http://www.prestige-nekretnine.hr,Not Contacted,
Rapidom nekretnine,,,,marko@rapidom-nekretnine.hr,"Koprivnička ulica, 48 48 10110 - Zagreb",92,false,https://www.nekretnine.hr/agencije-nekretnina/93963/,http://www.rapidom-nekretnine.hr,Not Contacted,
For Five,,,,,Sjeničarska ulica 23 10000 - Zagreb,16,false,https://www.nekretnine.hr/agencije-nekretnina/94497/,https://www.nekretninefor5.com,Not Contacted,
Regus,,,,,Slavonska avenija 1C 10000 - Zagreb,30,false,https://www.nekretnine.hr/agencije-nekretnina/94799/,,Not Contacted,
Aerolit,,,,,Grobnička ulica 3 10110 - Zagreb,15,false,https://www.nekretnine.hr/agencije-nekretnina/94515/,http://www.aerolit.hr,Not Contacted,
PER TU,,,,info@per-tu.hr,"Mikulići 142D ,  Zagreb, 10000 142D 10163 - Zagreb",21,false,https://www.nekretnine.hr/agencije-nekretnina/94473/,http://www.per-tu.hr,Not Contacted,
"AGENTA, vl. Josip Kukić",,,,,Ulica Nikole Jurišića 19/1 10000 - Zagreb,40,false,https://www.nekretnine.hr/agencije-nekretnina/97011/,https://agentarealty.hr,Not Contacted,
NEKRETNINE GREEN,,,,,"Avenija Dubrovnik, 10, Zagreb Hrvatska, 10020 1 10010 - Zagreb",22,false,https://www.nekretnine.hr/agencije-nekretnina/95213/,https://nekretnine-green.hr/,Not Contacted,
ASTERA nekretnine,,,,,"Petrinjska ulica, 2, Zagreb Hrvatska, 10000 2 10000 - Zagreb",26,false,https://www.nekretnine.hr/agencije-nekretnina/95817/,https://astera-nekretnine.com/,Not Contacted,
Agram Gold,,,,,Ulica Križnog puta 3 10040 - Zagreb,10,false,https://www.nekretnine.hr/agencije-nekretnina/96865/,,Not Contacted,
Tomasso nekretnine,,,,,Vrhovec 113 10000 - Zagreb,12,false,https://www.nekretnine.hr/agencije-nekretnina/96879/,,Not Contacted,
Vita Real Estate,,,,,Ulica Kozarčeve Tene 26 10020 - Zagreb,28,false,https://www.nekretnine.hr/agencije-nekretnina/97177/,https://vitarealestate.hr/,Not Contacted,
Real Estate Croatia d.o.o.,,,,info@realestate-croatia.hr,Petrova ulica 117 10000 - Zagreb,128,false,https://www.nekretnine.hr/agencije-nekretnina/94721/,https://realestate-croatia.hr/,Not Contacted,
Estera ulaganja d.o.o.,,,,gordan@estera-nekretnine.com,Nemčićeva 10 10 10000 - Zagreb,289,false,https://www.nekretnine.hr/agencije-nekretnina/95041/,http://www.estera-nekretnine.com,Not Contacted,
Belfort nekretnine,,,,,Ožujska ulica 8 10104 - Zagreb,11,false,https://www.nekretnine.hr/agencije-nekretnina/97105/,,Not Contacted,
Smartkey d.o.o.,,,,,Sunjska ulica 9 10020 - Zagreb,45,false,https://www.nekretnine.hr/agencije-nekretnina/95169/,https://smartkey.hr/,Not Contacted,
Diverso Domus d.o.o.,,,,,Malešnica 27 10090 - Zagreb,121,false,https://www.nekretnine.hr/agencije-nekretnina/95843/,,Not Contacted,
Nekretnine - Sve prodano d.o.o.,,,,nekretnine-sveprodano@zg.htnet.hr,"Međimurska ulica, 21 21 10163 - Zagreb",18,false,https://www.nekretnine.hr/agencije-nekretnina/94601/,http://www.nekretnine-sveprodano.hr/,Not Contacted,
Bašić Nekretnine,,,,info@nekretnine-basic.hr,Ulica Nikole Mašića 5 10000 - Zagreb,14,false,https://www.nekretnine.hr/agencije-nekretnina/94331/,http://www.nekretnine-basic.hr,Not Contacted,
Stav Nekretnine,,,,,Savska cesta 41 10000 - Zagreb,30,false,https://www.nekretnine.hr/agencije-nekretnina/95695/,https://www.stavnekretnine.hr/,Not Contacted,
San Patrik nekretnine,,,,info@sanpatrik.eu,"Radnicka cesta, 52, Zagreb Hrvatska, 10000 52 10000 - Zagreb",175,false,https://www.nekretnine.hr/agencije-nekretnina/95083/,http://www.sanpatrik.eu,Not Contacted,
BRAZDE real estate,,,,info@brazde.hr,"Kamenarka, 12 12 10010 - Zagreb",31,false,https://www.nekretnine.hr/agencije-nekretnina/94131/,http://www.brazde.hr,Not Contacted,
Forrent d.o.o.,,,,,Ulica Pavla Hatza 5 10000 - Zagreb,23,false,https://www.nekretnine.hr/agencije-nekretnina/95921/,https://forrent.hr/,Not Contacted,
AZORI PLUS,,,,info@azori-plus.hr,"Trg Antuna Mihanovića 2, Sesvete, Zagreb 2 10360 - Zagreb",20,false,https://www.nekretnine.hr/agencije-nekretnina/94107/,http://www.azori-plus.hr,Not Contacted,
Mano nekretnine,,,,info@manonekretnine.hr,"Donje Svetice, 127, Zagreb Hrvatska, 10135 9 10040 - Zagreb",22,false,https://www.nekretnine.hr/agencije-nekretnina/95979/,https://manonekretnine.hr/,Not Contacted,
UNOS,,,,,Medulićeva ulica A2 10000 - Zagreb,18,false,https://www.nekretnine.hr/agencije-nekretnina/94985/,,Not Contacted,
Adriatic Property Services,,,,info@adriaticpropertyservices.com,"Petrinjska 26, 10 000 Zagreb 26 10000 - Zagreb",29,false,https://www.nekretnine.hr/agencije-nekretnina/93531/,http://www.apscroatia.com/,Not Contacted,
ViA Nekretnine,,,,,"Ulica Nikole Jurišića, 19, Zagreb Hrvatska, 10000 3G/2 10020 - Zagreb",384,false,https://www.nekretnine.hr/agencije-nekretnina/95831/,https://c21.hr/c21-agencije/p/century-21-via-nekretnine.html#search,Not Contacted,
Spektra Nekretnine,,,,info@spektra.hr,Unska ulica 2B 10000 - Zagreb,31,false,https://www.nekretnine.hr/agencije-nekretnina/96517/,https://spektra.hr/,Not Contacted,
Hermes nekretnine,,,,,"Cvjetno naselje IV., 7, Zagreb Hrvatska, 10000 45 10000 - Zagreb",60,false,https://www.nekretnine.hr/agencije-nekretnina/95787/,https://hermes-nekretnine.hr/hr/home,Not Contacted,
Prodom Trade,,,,prodom.trade@gmail.com,Remete 44E 10163 - Zagreb,32,false,https://www.nekretnine.hr/agencije-nekretnina/94423/,http://www.prodom-trade.hr,Not Contacted,
IMPERO TERRA,,,,,Ulica Pavla Hatza 5 5 10000 - Zagreb,19,false,https://www.nekretnine.hr/agencije-nekretnina/93501/,http://www.impero.hr,Not Contacted,
Ocelot nekretnine,,,,,"Mlinovi, Zagreb, 50 10000 - Zagreb",33,false,https://www.nekretnine.hr/agencije-nekretnina/95455/,https://ocelot-nekretnine.hr/,Not Contacted,
GAZDAR d.o.o.,,,,,"Mlinovi, 154E 154E 10163 - Zagreb",22,false,https://www.nekretnine.hr/agencije-nekretnina/93485/,http://gazdar.hr/,Not Contacted,
TELENERG - NEKRETNINE d.o.o.,,,,,Trg Josipa Jurja Strossmayera 6 10000 - Zagreb,174,false,https://www.nekretnine.hr/agencije-nekretnina/95453/,https://telenerg-nekretnine.hr/,Not Contacted,
VALIDUS NEKRETNINE d.o.o.,,,,,"Ulica Dobriše Cesarića, 71 71 10147 - Zagreb",21,false,https://www.nekretnine.hr/agencije-nekretnina/96065/,,Not Contacted,
Futura Premium Estate d.o.o.,,,,goran@futura-premium.hr,Gornji Bukovac 107 10000 - Zagreb,14,false,https://www.nekretnine.hr/agencije-nekretnina/97087/,https://futura-premium.hr,Not Contacted,
Aktual nekretnine,,,,info@aktualnekretnine.hr,"Hrgovići 36, Jarun 10110 1 10109 - Zagreb",22,false,https://www.nekretnine.hr/agencije-nekretnina/93989/,http://www.aktualnekretnine.hr,Not Contacted,
Tom solutions d.o.o.,,,,,Junkovićev put 5 10090 - Zagreb,43,false,https://www.nekretnine.hr/agencije-nekretnina/96723/,,Not Contacted,
Regent,,,,info@regent.hr,"Nova ves, 17, Zagreb Croatia, 10000 17 10000 - Zagreb",1227,false,https://www.nekretnine.hr/agencije-nekretnina/96209/,https://regent.hr/,Not Contacted,
Eurohome nekretnine d.o.o.,,,,,Vlaška ulica 64 10000 - Zagreb,775,false,https://www.nekretnine.hr/agencije-nekretnina/95219/,https://eurohome-nekretnine.hr/,Not Contacted,
DOM EKSPERT d.o.o.,,,,info@domekspert.hr,"Varaždinska cesta, 111, Zagreb Hrvatska, 10360 111 10360 - Zagreb",344,false,https://www.nekretnine.hr/agencije-nekretnina/95619/,https://domekspert.hr/,Not Contacted,
RED,,,,info@rednekretnine.com,"Ulica Baltazara Bogišića, 1 1 10000 - Zagreb",497,false,https://www.nekretnine.hr/agencije-nekretnina/95845/,https://rednekretnine.com/,Not Contacted,
